Coaster,Park,City,State,Census Region,Year Opened,AgeGroup,TopSpeed,MaxHeight,Scale,Type,Design,Drop,Length,Duration,Inversions?,# of Inversions,Make,Latitude,Longitude
RailBlazer,California's Great America,Santa Clara,California,West,2018,3:Newest,52,106,Extreme,Steel,Sit Down,102,1800,60,Yes,3,Rocky Mountain Construction,37.3512,-121.9523
Rampage,Alabama Adventure & Splash Adventure,Bessemer,Alabama,South,1998,2:Recent,56,120,Extreme,Wood,Sit Down,102,3500,149,No,0,"Custom Coasters International, Inc.",33.4024,-86.9518
Raptor,Cedar Point,Sandusky,Ohio,Midwest,1994,2:Recent,57,137,Extreme,Steel,Inverted,119,3790,136,Yes,6,Bolliger & Mabillard,41.3991,-82.7244
Rattlesnake Coaster,Adventureland,Farmingdale,New York,Northeast,2000,3:Newest,19.9,19.7,Family,Steel,Sit Down,NA,652.9,NA,No,0,Zierer,40.7327,-73.4328
Raven,Holiday World,Santa Claus,Indiana,Midwest,1995,2:Recent,48,80,Extreme,Wood,Sit Down,85,2800,90,No,0,"Custom Coasters International, Inc.",38.1176,-86.9286
Ravine Flyer 3,Waldameer,Erie,Pennsylvania,Northeast,2000,3:Newest,NA,15,Family,Steel,Sit Down,14,NA,50,No,0,E&F Miler Industries,42.1213,-80.0889
Ravine Flyer II,Waldameer,Erie,Pennsylvania,Northeast,2008,3:Newest,57,80,Extreme,Wood,Sit Down,118,2900,90,No,0,NA,42.1213,-80.0889
Renegade,Valleyfair!,Shakopee,Minnesota,Midwest,2007,3:Newest,51.3,97.5,Extreme,Wood,Sit Down,91.4,3113,120,No,0,Great Coasters International,44.7986,-93.5194
Revenge of the Mummy,Universal Studios Florida,Orlando,Florida,South,2004,3:Newest,40,44.4,Extreme,Steel,Sit Down,25,2200,177,No,0,Premier Rides,28.5452,-81.3733
Revenge of the Mummy the Ride,Universal Studios Hollywood,Universal City,California,West,2004,3:Newest,40,44.4,Extreme,Steel,Sit Down,25,1906,120,No,0,Premier Rides,34.1389,-118.3534
Rewind Racers,Adventure City,Anaheim,California,West,2015,3:Newest,31.1,39.3,Family,Steel,Sit Down,NA,593.8,NA,No,0,Gerstlauer Amusement Rides GmbH,33.845,-117.9522
Ricochet,Carowinds,Charlotte,North Carolina,South,2002,3:Newest,28,54,Thrill,Steel,Sit Down,50,1213.9,110,No,0,Mack Rides GmbH & Co KG,35.26,-80.8042
Riddler Revenge,Six Flags New England,Agawam,Massachusetts,Northeast,1997,2:Recent,49.7,109.3,Extreme,Steel,Inverted,86,2260.5,96,Yes,5,Vekoma,42.0695,-72.6148
Riddler's Revenge,Six Flags Magic Mountain,Valencia,California,West,1998,2:Recent,65,156,Extreme,Steel,Stand Up,146,4370,180,Yes,6,Bolliger & Mabillard,34.4658,-118.5538
Ride of Steel,Six Flags Darien Lake,Darien Center,New York,Northeast,1999,2:Recent,73,208,Extreme,Steel,Sit Down,205,5400,122,No,0,Intamin Amusement Rides,42.896,-78.3857
Ridge Rider Mountain Coaster,Heavenly Mountain Resort,South Lake Tahoe,California,West,2016,3:Newest,26,NA,Thrill,Steel,Sit Down,300,3400,NA,No,0,Wiegand,38.9275,-120.0396
River King Mine Train,Six Flags St. Louis,Eureka,Missouri,Midwest,1971,1:Older,37,32,Thrill,Steel,Sit Down,41,2500,180,No,0,Arrow Dynamics,38.5128,-90.6306
Road Runner Express,Six Flags Magic Mountain,Valencia,California,West,2011,3:Newest,21.7,27.9,Family,Steel,Sit Down,19,679.2,44,No,0,Vekoma,34.4658,-118.5538
Road Runner Express,Six Flags Fiesta Texas,San Antonio,Texas,South,1997,2:Recent,35,73,Thrill,Steel,Sit Down,67,2400,144,No,0,Arrow Dynamics,29.4684,-98.5289
Roadrunner Express,Six Flags Discovery Kingdom,Vallejo,California,West,1999,2:Recent,15,15,Family,Steel,Sit Down,13,262.5,73,No,0,Zamperla,38.1874,-122.2241
Roar,Six Flags America,Upper Marlboro,Maryland,South,1998,2:Recent,50.5,94.6,Extreme,Wood,Sit Down,85,3468,112,No,0,Great Coasters International,38.8162,-76.7861
Roar-O-Saurus,Story Land,Glen,New Hampshire,Northeast,2014,3:Newest,33,40,Thrill,Wood,Sit Down,38,1240,70,No,0,Gravitykraft Corporation,44.1101,-71.1826
Rock 'n' Roller Coaster,Walt Disney World - Disney's Hollywood Studios,Lake Buena Vista,Florida,South,1999,2:Recent,57,80,Extreme,Steel,Sit Down,78,3403,82,Yes,3,Vekoma,28.3937,-81.529
Rocky Top Mountain Coaster,Rocky Top Mountain Coaster,Pigeon Forge,Tennessee,South,2018,3:Newest,30,NA,Thrill,Steel,Sit Down,NA,3690.9,540,No,0,Wiegand,35.786,-83.5622
Roller Coaster,Boomers Family Fun Center,Medford,New York,Northeast,1999,2:Recent,NA,13,Family,Steel,Sit Down,NA,262.5,NA,No,0,Zamperla,40.8212,-72.9865
Roller Coaster,Lagoon,Farmington,Utah,West,1921,1:Older,45,62,Extreme,Wood,Sit Down,NA,2500,NA,No,0,NA,40.9691,-111.9073
Roller Skater,Kentucky Kingdom,Louisville,Kentucky,South,1994,2:Recent,21.7,27.9,Family,Steel,Sit Down,20,679.2,50,No,0,Vekoma,38.189,-85.6768
Rollies Coaster,Morey's Piers,Wildwood,New Jersey,Northeast,1999,2:Recent,27,33,Thrill,Steel,Sit Down,25,1100,58,No,0,Pinfari,39,-74.8167
Rollin' Thunder,Park at OWA,Foley,Alabama,South,2017,3:Newest,55.9,114.8,Extreme,Steel,Sit Down,125,2234.3,130,Yes,4,Zamperla,30.3847,-87.7268
Rollo Coaster,Idlewild & SoakZone,Ligonier,Pennsylvania,Northeast,1938,1:Older,25,27,Family,Wood,Sit Down,25,900,75,No,0,"Philadelphia Toboggan Coasters, Inc.",40.2713,-79.2511
Rougarou,Cedar Point,Sandusky,Ohio,Midwest,1996,2:Recent,60,145,Extreme,Steel,Sit Down,137,3900,160,Yes,4,Bolliger & Mabillard,41.3991,-82.7244
Rudy's Rapid Transit,Santa's Village,Jefferson,New Hampshire,Northeast,1988,2:Recent,22.4,26.3,Family,Steel,Sit Down,25,1181.1,NA,No,0,Zierer,44.419,-71.4745
Runaway Mine Train,Six Flags Great Adventure,Jackson,New Jersey,Northeast,1974,1:Older,38,60,Thrill,Steel,Sit Down,39,2665,120,No,0,Arrow Dynamics,40.1052,-74.3528
Runaway Mine Train,Six Flags Over Texas,Arlington,Texas,South,1966,1:Older,26,35,Thrill,Steel,Sit Down,NA,2485,180,No,0,Arrow Dynamics,32.6356,-97.1488
Runaway Mountain,Six Flags Over Texas,Arlington,Texas,South,1996,2:Recent,40,65,Thrill,Steel,Sit Down,30,1500,480,No,0,Premier Rides,32.6356,-97.1488
Runaway Tram,Morey's Piers,Wildwood,New Jersey,Northeast,2019,3:Newest,28.6,36.1,Family,Steel,Sit Down,40,921.9,NA,No,0,Zierer,39,-74.8167
Sand Serpent,Busch Gardens Tampa,Tampa,Florida,South,2004,3:Newest,28,45.9,Thrill,Steel,Sit Down,NA,1213.9,110,No,0,Mack Rides GmbH & Co KG,27.9961,-82.582
Sand Storm,Joyland Amusement Park,Lubbock,Texas,South,2019,3:Newest,22.4,24.6,Family,Steel,Sit Down,NA,721.8,NA,No,0,Cavazza Diego,33.5888,-101.8504
Santa Monica West Coaster,Pacific Park,Santa Monica,California,West,1996,2:Recent,35,55,Family,Steel,Sit Down,20,1300,60,No,0,Morgan,34.0137,-118.4938
Scorpion,Busch Gardens Tampa,Tampa,Florida,South,1980,2:Recent,41,60.7,Extreme,Steel,Sit Down,60,1817.6,90,Yes,1,Schwarzkopf,27.9961,-82.582
Scream!,Six Flags Magic Mountain,Valencia,California,West,2003,3:Newest,63,150,Extreme,Steel,Sit Down,141,3985,180,Yes,7,Bolliger & Mabillard,34.4658,-118.5538
Screamin' Eagle,Six Flags St. Louis,Eureka,Missouri,Midwest,1976,1:Older,62,110,Extreme,Wood,Sit Down,92,3872,150,No,0,"Philadelphia Toboggan Coasters, Inc.",38.5128,-90.6306
Scream'n Eagle,Fun Spot America Atlanta,Fayetteville,Georgia,South,2007,3:Newest,35,38,Thrill,Steel,Sit Down,NA,900,NA,No,0,E&F Miler Industries,33.4679,-84.4806
Sea Dragon,Columbus Zoo and Aquarium,Powell,Ohio,Midwest,1956,1:Older,25,35,Family,Wood,Sit Down,30,1320,90,No,0,"Philadelphia Toboggan Coasters, Inc.",40.1834,-83.0912
Sea Serpent,Santa Cruz Beach Boardwalk,Santa Cruz,California,West,2000,3:Newest,47,125,Family,Steel,Sit Down,116,972,113,No,0,E&F Miler Industries,37.0527,-122.1111
Sea Serpent,Fun Spot America,Orlando,Florida,South,2013,3:Newest,47,125,Family,Steel,Sit Down,116,935,108,No,0,E&F Miler Industries,28.5452,-81.3733
Sea Serpent,Jolly Roger Amusement Park,Ocean City,Maryland,South,2015,3:Newest,47,125,Kiddie,Steel,Sit Down,116,935,108,No,0,Miler Manufacturing,38.3505,-75.1289
Sea Serpent,Morey's Piers,Wildwood,New Jersey,Northeast,1984,2:Recent,47,125,Extreme,Steel,Sit Down,116,935,108,Yes,3,Vekoma,39,-74.8167
Sea Serpent,Keansburg Amusement Park,Keansburg,New Jersey,Northeast,1998,2:Recent,47,125,Family,Steel,Sit Down,116,935,108,No,0,E&F Miler Industries,40.4381,-74.1279
Sea Serpent,Deno's Wonder Wheel Amusement Park,Brooklyn,New York,Northeast,1999,2:Recent,47,125,Family,Steel,Sit Down,116,950,110,No,0,E&F Miler Industries,40.6312,-73.9415
Sea Viper,Palace Playland,Old Orchard Beach,Maine,Northeast,2018,3:Newest,41.1,68.8,Thrill,Steel,Sit Down,NA,1509.2,NA,No,0,Preston & Barbieri,43.524,-70.3907
Serpent,Kokomo's Family Fun Center,Saginaw,Michigan,Midwest,2009,3:Newest,30,45,Thrill,Steel,Sit Down,40,1919,110,No,0,S.D.C.,43.4124,-83.8869
Seven Dwarfs Mine Train,Walt Disney World - Magic Kingdom,Lake Buena Vista,Florida,South,2014,3:Newest,34,41,Family,Steel,Sit Down,39,2000,170,No,0,Vekoma,28.3937,-81.529
SheiKra,Busch Gardens Tampa,Tampa,Florida,South,2005,3:Newest,70,200,Extreme,Steel,Sit Down,195,3188,140,Yes,1,Bolliger & Mabillard,27.9961,-82.582
Shivering Timbers,Michigan's Adventure,Muskegon,Michigan,Midwest,1998,2:Recent,57,122,Extreme,Wood,Sit Down,125,5383,150,No,0,"Custom Coasters International, Inc.",43.2377,-86.2542
Shock Wave,Six Flags Over Texas,Arlington,Texas,South,1978,1:Older,60,116,Extreme,Steel,Sit Down,105,3600,120,Yes,2,Schwarzkopf,32.6356,-97.1488
Shredder,Nickelodeon Universe Theme Park,East Rutherford,New Jersey,Northeast,2019,3:Newest,36,141,Thrill,Steel,Sit Down,138,2247,NA,No,0,Gerstlauer Amusement Rides GmbH,40.8284,-74.0939
Sidewinder,Elitch Gardens,Denver,Colorado,West,1995,2:Recent,45,56,Extreme,Steel,Sit Down,47,635,66,Yes,1,Arrow Dynamics,39.7602,-104.9966
Sidewinder,Hersheypark,Hershey,Pennsylvania,Northeast,1991,2:Recent,47,116.5,Extreme,Steel,Sit Down,105,935,108,Yes,3,Vekoma,40.2697,-76.6364
Sierra Sidewinder,Knott's Berry Farm,Buena Park,California,West,2007,3:Newest,37,62.3,Thrill,Steel,Sit Down,39,1410.8,78,No,0,Mack Rides GmbH & Co KG,33.8463,-118.01220000000001
Silver Bullet,Knott's Berry Farm,Buena Park,California,West,2004,3:Newest,55,146,Extreme,Steel,Inverted,109,3125,150,Yes,6,Bolliger & Mabillard,33.8463,-118.01220000000001
Silver Bullet,Frontier City,Oklahoma City,Oklahoma,South,1986,2:Recent,47.8,83,Extreme,Steel,Sit Down,80,1942,180,Yes,1,Schwarzkopf,35.4916,-97.5628
Skull Mountain,Six Flags Great Adventure,Jackson,New Jersey,Northeast,1996,2:Recent,33,40.5,Family,Steel,Sit Down,37,1377,84,No,0,Intamin Amusement Rides,40.1052,-74.3528
Sky Rocket,Kennywood,West Mifflin,Pennsylvania,Northeast,2010,3:Newest,50,95,Extreme,Steel,Sit Down,90,2100,65,Yes,3,Premier Rides,40.3625,-79.8984
Skyliner,Lakemont Park,Altoona,Pennsylvania,Northeast,1987,2:Recent,40,60,Thrill,Wood,Sit Down,45,2400,120,No,0,"Philadelphia Toboggan Coasters, Inc.",40.4894,-78.3499
Skyrush,Hersheypark,Hershey,Pennsylvania,Northeast,2012,3:Newest,75,200,Extreme,Steel,Sit Down,186,3600,63,No,0,Intamin Amusement Rides,40.2697,-76.6364
Slingshot,Camden Park,Huntington,West Virginia,South,2016,3:Newest,NA,17,Family,Steel,Sit Down,6,190,79,No,0,SBF Visa Group,38.3717,-82.4129
Slinky Dog Dash,Walt Disney World - Disney's Hollywood Studios,Lake Buena Vista,Florida,South,2018,3:Newest,40,NA,Family,Steel,Sit Down,NA,NA,120,No,0,Mack Rides GmbH & Co KG,28.3937,-81.529
Soarin' Eagle,Luna Park,Brooklyn,New York,Northeast,2011,3:Newest,25.7,50,Extreme,Steel,Flying,17,1282.8,48,Yes,2,Zamperla,40.6312,-73.9415
Sooper Jet,Trimper Rides,Ocean City,Maryland,South,2010,3:Newest,NA,5,Kiddie,Steel,Sit Down,2,48,NA,No,0,Wisdom Rides,38.3505,-75.1289
Sooperdooperlooper,Hersheypark,Hershey,Pennsylvania,Northeast,1977,1:Older,45,70,Extreme,Steel,Sit Down,75,2614,105,Yes,1,Schwarzkopf,40.2697,-76.6364
Southern Express,Park at OWA,Foley,Alabama,South,2017,3:Newest,NA,13.1,Family,Steel,Sit Down,9,262.5,60,No,0,Zamperla,30.3847,-87.7268
Space Mountain,Disneyland,Anaheim,California,West,2005,3:Newest,30.2,100,Thrill,Steel,Sit Down,15,3035,170,No,0,Dynamic Attractions,33.845,-117.9522
Space Mountain,Walt Disney World - Magic Kingdom,Lake Buena Vista,Florida,South,1975,1:Older,27,90,Thrill,Steel,Sit Down,35,3196,155,No,0,NA,28.3937,-81.529
Speedway Coaster,NASCAR SpeedPark,Sevierville,Tennessee,South,2004,3:Newest,18.6,14.8,Family,Steel,Sit Down,11,413.4,NA,No,0,Zierer,35.8333,-83.5722
Speedy Gonzales Hot Rod Racers,Six Flags Magic Mountain,Valencia,California,West,2014,3:Newest,14,13.1,Family,Steel,Sit Down,7,262.5,54,No,0,Zamperla,34.4658,-118.5538
Spider,Lagoon,Farmington,Utah,West,2003,3:Newest,37.3,50.8,Thrill,Steel,Sit Down,NA,1391.1,70,No,0,Maurer Rides GmbH,40.9691,-111.9073
Spinning Coaster,Trimper Rides,Ocean City,Maryland,South,2015,3:Newest,NA,17,Family,Steel,Sit Down,6,190,108,No,0,SBF Visa Group,38.3505,-75.1289
Spinning Coaster,CJ Barrymore's Family Entertainment Center,Clinton Township,Michigan,Midwest,2019,3:Newest,NA,17,Family,Steel,Sit Down,6,190,108,No,0,SBF Visa Group,42.5512,-82.9167
Spinning Coaster,Western Playland,Sunland Park,New Mexico,West,2014,3:Newest,NA,14,Family,Steel,Sit Down,6,190,108,No,0,SBF Visa Group,31.7965,-106.58
Spinning Coaster,Tulsa's Incredible Pizza Company,Tulsa,Oklahoma,South,2015,3:Newest,NA,14,Family,Steel,Sit Down,6,190,108,No,0,SBF Visa Group,36.0391,-95.8687
Spinning Coaster,Incredible Pizza Company,Warr Acres,Oklahoma,South,2016,3:Newest,NA,14,Family,Steel,Sit Down,6,190,108,No,0,SBF Visa Group,35.5529,-97.6358
Spinning Dragons,Worlds of Fun,Kansas City,Missouri,Midwest,2004,3:Newest,31,54,Thrill,Steel,Sit Down,50,1345,90,No,0,Gerstlauer Amusement Rides GmbH,39.1024,-94.5986
Spinning Lady Bug Coaster,Edaville Family Theme Park,Carver,Massachusetts,Northeast,2015,3:Newest,NA,14,Family,Steel,Sit Down,8,190,77,No,0,SBF Visa Group,41.8962,-70.7597
Spinning Out,Beech Bend,Bowling Green,Kentucky,South,2016,3:Newest,NA,14,Family,Steel,Sit Down,6,NA,92,No,0,SBF Visa Group,37.0174,-86.4518
Spinning Parrot,Island in Pigeon Forge,Pigeon Forge,Tennessee,South,2018,3:Newest,NA,13,Family,Steel,Sit Down,5,NA,91,No,0,SBF Visa Group,35.786,-83.5622
Spin-O-Rama,Cliff's Amusement Park,Albuquerque,New Mexico,West,2016,3:Newest,NA,14,Family,Steel,Sit Down,NA,190,NA,No,0,SBF Visa Group,35.1996,-106.6448
SpongeBob SquarePants Rock Bottom Plunge,Nickelodeon Universe,Bloomington,Minnesota,Midwest,2008,3:Newest,43.5,74.5,Extreme,Steel,Sit Down,67,1371.4,120,Yes,2,Gerstlauer Amusement Rides GmbH,43.8666,-93.051
Sprocket Rockets,Six Flags Great America,Gurnee,Illinois,Midwest,1998,2:Recent,21.7,27.9,Family,Steel,Sit Down,20,679.2,44,No,0,Vekoma,42.3751,-87.9397
Steamin' Demon,Great Escape,Queensbury,New York,Northeast,1984,2:Recent,45,95,Extreme,Steel,Sit Down,65,1565,90,Yes,3,Arrow Dynamics,43.341,-73.6859
Steel Curtain,Kennywood,West Mifflin,Pennsylvania,Northeast,2019,3:Newest,75,220,Extreme,Steel,Sit Down,197,4000,120,Yes,8,S&S Sansei Technologies,40.3625,-79.8984
Steel Dragon,Waldameer,Erie,Pennsylvania,Northeast,2004,3:Newest,37.3,50.8,Thrill,Steel,Sit Down,NA,1391.1,84,No,0,Maurer Rides GmbH,42.1213,-80.0889
Steel Eel,SeaWorld San Antonio,San Antonio,Texas,South,1999,2:Recent,65,150,Extreme,Steel,Sit Down,150,3700,100,No,0,Morgan,29.4684,-98.5289
Steel Force,Dorney Park & Wildwater Kingdom,Allentown,Pennsylvania,Northeast,1997,2:Recent,75,200,Extreme,Steel,Sit Down,205,5600,180,No,0,Morgan,40.6027,-75.4692
Steel Hawg,Indiana Beach,Monticello,Indiana,Midwest,2008,3:Newest,41,96,Extreme,Steel,Sit Down,NA,1276,75,Yes,2,S&S Sansei Technologies,40.7792,-86.7495
Steel Lasso,Frontier City,Oklahoma City,Oklahoma,South,2008,3:Newest,30,49,Family,Steel,Suspended,NA,965,NA,No,0,Vekoma,35.4916,-97.5628
Steel Vengeance,Cedar Point,Sandusky,Ohio,Midwest,2018,3:Newest,74,205,Extreme,Steel,Sit Down,200,5740,150,Yes,4,Rocky Mountain Construction,41.3991,-82.7244
Steel Venom,Valleyfair!,Shakopee,Minnesota,Midwest,2003,3:Newest,68,185,Extreme,Steel,Inverted,175,630,57,No,0,Intamin Amusement Rides,44.7986,-93.5194
Steeplechase,Luna Park,Brooklyn,New York,Northeast,2011,3:Newest,37.3,42.7,Thrill,Steel,Sit Down,NA,1194.2,NA,No,0,Zamperla,40.6312,-73.9415
Storm Chaser,Kentucky Kingdom,Louisville,Kentucky,South,2016,3:Newest,52,100,Extreme,Steel,Sit Down,70,2744,100,Yes,2,Rocky Mountain Construction,38.189,-85.6768
Storm Runner,Hersheypark,Hershey,Pennsylvania,Northeast,2004,3:Newest,75,150,Extreme,Steel,Sit Down,180,2600,50,Yes,3,Intamin Amusement Rides,40.2697,-76.6364
Streamliner Coaster,Six Flags Fiesta Texas,San Antonio,Texas,South,1992,2:Recent,14,15,Family,Steel,Sit Down,13,278.8,NA,No,0,Vekoma,29.4684,-98.5289
Super Cyclone,Santa's Village AZoosment Park,Dundee,Illinois,Midwest,2017,3:Newest,30,32.8,Thrill,Steel,Sit Down,NA,1148.3,80,No,0,Interpark,42.1062,-88.3044
Super Flight,Playland Park,Rye,New York,Northeast,2004,3:Newest,25.7,50,Extreme,Steel,Flying,NA,1282.8,48,Yes,2,Zamperla,40.9789,-73.6933
Super Grovers Box Car Derby,SeaWorld San Antonio,San Antonio,Texas,South,2004,3:Newest,14.9,13.1,Thrill,Steel,Sit Down,NA,229.7,NA,No,0,Zierer,29.4684,-98.5289
Super Grover's Box Car Derby,SeaWorld Orlando,Orlando,Florida,South,2006,3:Newest,28,30,Family,Steel,Sit Down,NA,853,63,No,0,Zierer,28.5452,-81.3733
Superman - Ride Of Steel,Six Flags America,Upper Marlboro,Maryland,South,2000,3:Newest,73,197,Extreme,Steel,Sit Down,205,5350,130,No,0,Intamin Amusement Rides,38.8162,-76.7861
Superman - Ultimate Flight,Six Flags Over Georgia,Austell,Georgia,South,2002,3:Newest,51,106,Extreme,Steel,Flying,100,2759,120,Yes,2,Bolliger & Mabillard,33.8369,-84.6307
Superman - Ultimate Flight,Six Flags Great America,Gurnee,Illinois,Midwest,2003,3:Newest,51,106,Extreme,Steel,Flying,100,2798,180,Yes,2,Bolliger & Mabillard,42.3751,-87.9397
Superman - Ultimate Flight,Six Flags Great Adventure,Jackson,New Jersey,Northeast,2003,3:Newest,51,106,Extreme,Steel,Flying,100,2759,126,Yes,2,Bolliger & Mabillard,40.1052,-74.3528
Superman Krypton Coaster,Six Flags Fiesta Texas,San Antonio,Texas,South,2000,3:Newest,70,168,Extreme,Steel,Sit Down,160,4025,155,Yes,6,Bolliger & Mabillard,29.4684,-98.5289
Superman the Ride,Six Flags New England,Agawam,Massachusetts,Northeast,2000,3:Newest,77,208,Extreme,Steel,Sit Down,221,5400,155,No,0,Intamin Amusement Rides,42.0695,-72.6148
Superman Ultimate Flight,Six Flags Discovery Kingdom,Vallejo,California,West,2012,3:Newest,62,150,Extreme,Steel,Sit Down,135,863,NA,Yes,1,Premier Rides,38.1874,-122.2241
Superman: Escape from Krypton,Six Flags Magic Mountain,Valencia,California,West,1997,2:Recent,100,415,Extreme,Steel,Sit Down,328.1,1235,28,No,0,Intamin Amusement Rides,34.4658,-118.5538
Swamp Fox,Family Kingdom Amusement Park,Myrtle Beach,South Carolina,South,1966,1:Older,50,72,Thrill,Wood,Sit Down,62,2640,154,No,0,"Philadelphia Toboggan Coasters, Inc.",33.7716,-78.7847
Swamp Thing,Wild Adventures,Valdosta,Georgia,South,2003,3:Newest,26,48.6,Family,Steel,Inverted,NA,1122.1,90,No,0,Vekoma,30.7539,-83.3321
Swampwater Snake,Wild Adventures,Valdosta,Georgia,South,2019,3:Newest,NA,8,Family,Steel,Sit Down,NA,262,NA,No,0,Zamperla,30.7539,-83.3321
Swiss Toboggan,Little Amerricka,Marshall,Wisconsin,Midwest,1993,2:Recent,NA,45,Thrill,Steel,Sit Down,NA,450,NA,No,0,Chance Rides,43.1739,-89.0913
Switchback,ZDT'S Amusement Park,Seguin,Texas,South,2015,3:Newest,41,64,Thrill,Wood,Sit Down,56,1196,121,No,0,Gravitykraft Corporation,29.5787,-97.9518
T3,Kentucky Kingdom,Louisville,Kentucky,South,1995,2:Recent,49.7,101.7,Extreme,Steel,Inverted,86,2171.9,96,Yes,5,Vekoma,38.189,-85.6768
Talon,Dorney Park & Wildwater Kingdom,Allentown,Pennsylvania,Northeast,2001,3:Newest,58,135,Extreme,Steel,Inverted,120,3110,116,Yes,4,Bolliger & Mabillard,40.6027,-75.4692
Tantrum,Six Flags Darien Lake,Darien Center,New York,Northeast,2018,3:Newest,52.8,98.4,Extreme,Steel,Sit Down,97,1246.7,60,Yes,3,Gerstlauer Amusement Rides GmbH,42.896,-78.3857
Tasmanian Tiger,ZooTampa at Lowry Park,Tampa,Florida,South,2008,3:Newest,NA,11,Family,Steel,Sit Down,8,280,74,No,0,Wisdom Rides,27.9961,-82.582
Tatsu,Six Flags Magic Mountain,Valencia,California,West,2006,3:Newest,62,170,Extreme,Steel,Flying,111,3602,133,Yes,4,Bolliger & Mabillard,34.4658,-118.5538
Technic Coaster,Legoland California,Carlsbad,California,West,2001,3:Newest,35,51.8,Thrill,Steel,Sit Down,49.8,1312.3,115,No,0,Mack Rides GmbH & Co KG,33.1442,-117.3194
Teddy Bear,Stricker's Grove,Ross,Ohio,Midwest,1996,2:Recent,45,28,Family,Wood,Sit Down,20,700,63,No,0,NA,39.3124,-84.6483
Tempesto,Busch Gardens Williamsburg,Williamsburg,Virginia,South,2015,3:Newest,62,150,Extreme,Steel,Sit Down,135,863,NA,Yes,1,Premier Rides,37.3105,-76.7468
Tennessee Tornado,Dollywood,Pigeon Forge,Tennessee,South,1999,2:Recent,63,163,Extreme,Steel,Sit Down,128,2682,108,Yes,3,Arrow Dynamics,35.786,-83.5622
Texas Stingray,SeaWorld San Antonio,San Antonio,Texas,South,2020,3:Newest,55,96,Thrill,Wood,Sit Down,100,3379,166,No,0,Great Coasters International,29.4684,-98.5289
Texas Tornado,Wonderland Amusement Park,Amarillo,Texas,South,1985,2:Recent,50,80,Extreme,Steel,Sit Down,80,2050,110,Yes,2,Hopkins,35.206,-101.8396
The Branson Coaster,Branson Sawmill,Branson,Missouri,Midwest,2017,3:Newest,30,NA,Thrill,Steel,Sit Down,NA,2700,NA,No,0,Wiegand,36.661,-93.2358
Thriller,Land Of Make Believe,Hope,New Jersey,Northeast,1994,2:Recent,8,10,Family,Steel,Sit Down,9,220,57,No,0,E&F Miler Industries,40.9197,-74.9846
Thunder Run,Kentucky Kingdom,Louisville,Kentucky,South,1990,2:Recent,53,90,Thrill,Wood,Sit Down,78,2850,114,No,0,Dinn Corporation,38.189,-85.6768
Thunderation,Silver Dollar City,Branson,Missouri,Midwest,1993,2:Recent,48,110,Thrill,Steel,Sit Down,81,3022,130,No,0,Arrow Dynamics,36.661,-93.2358
Thunderbird,Holiday World,Santa Claus,Indiana,Midwest,2015,3:Newest,60,140,Extreme,Steel,Wing,130,3035,78,Yes,4,Bolliger & Mabillard,38.1176,-86.9286
Thunderbolt,Six Flags New England,Agawam,Massachusetts,Northeast,1941,1:Older,40,70,Thrill,Wood,Sit Down,70,2600,60,No,0,NA,42.0695,-72.6148
Thunderbolt,Luna Park,Brooklyn,New York,Northeast,2014,3:Newest,55.9,114.8,Extreme,Steel,Sit Down,112,2234.3,38,Yes,4,Zamperla,40.6312,-73.9415
Thunderbolt,Kennywood,West Mifflin,Pennsylvania,Northeast,1924,1:Older,55,70,Extreme,Wood,Sit Down,90,3250,101,No,0,NA,40.3625,-79.8984
Thunderhawk,Michigan's Adventure,Muskegon,Michigan,Midwest,2008,3:Newest,49.7,109.3,Extreme,Steel,Inverted,86,2260.5,96,Yes,5,Vekoma,43.2377,-86.2542
Thunderhawk,Dorney Park & Wildwater Kingdom,Allentown,Pennsylvania,Northeast,1924,1:Older,45,80,Thrill,Wood,Sit Down,65,2767,78,No,0,"Philadelphia Toboggan Coasters, Inc.",40.6027,-75.4692
Thunderhead,Dollywood,Pigeon Forge,Tennessee,South,2004,3:Newest,53.7,100.4,Extreme,Wood,Sit Down,100,3230,154,No,0,Great Coasters International,35.786,-83.5622
Tickler,Luna Park,Brooklyn,New York,Northeast,2010,3:Newest,NA,NA,Thrill,Steel,Sit Down,NA,1377.9,144,No,0,Zamperla,40.6312,-73.9415
Tidal Twister,SeaWorld San Diego,San Diego,California,West,2019,3:Newest,30,22,Extreme,Steel,Sit Down,NA,320,NA,Yes,1,Skyline Attractions,32.7241,-117.1709
Tidal Wave,Trimper Rides,Ocean City,Maryland,South,1986,2:Recent,47,125,Extreme,Steel,Sit Down,125,935,108,Yes,3,Vekoma,38.3505,-75.1289
Tidal Wave,Jenkinson's Boardwalk,Point Pleasant Beach,New Jersey,Northeast,2019,3:Newest,11.2,20,Family,Steel,Sit Down,NA,393.7,NA,No,0,SBF Visa Group,40.0912,-74.0479
Tiger Terror,Safari Land,Villa Park,Illinois,Midwest,2002,3:Newest,NA,22,Family,Steel,Sit Down,20,NA,45,No,0,Wisdom Rides,41.8754,-87.9764
Tiger Trax,Como Town,St. Paul,Minnesota,Midwest,2015,3:Newest,NA,33,Thrill,Steel,Sit Down,NA,1100,90,No,0,SBF Visa Group,44.9515,-93.0906
