Coaster,Park,City,State,Census Region,Year Opened,AgeGroup,TopSpeed,MaxHeight,Scale,Type,Design,Drop,Length,Duration,Inversions?,# of Inversions,Make,Latitude,Longitude
Carolina Cyclone,Carowinds,Charlotte,North Carolina,South,1980,2:Recent,41,95,Extreme,Steel,Sit Down,65,2100,90,Yes,4,Arrow Dynamics,35.26,-80.8042
Carolina Goldrusher,Carowinds,Charlotte,North Carolina,South,1973,1:Older,30,43,Thrill,Steel,Sit Down,34,2397,137,No,0,Arrow Dynamics,35.26,-80.8042
Catwoman's Whip,Six Flags New England,Agawam,Massachusetts,Northeast,2000,3:Newest,22.4,26.3,Family,Steel,Sit Down,26,1181.1,62,No,0,Zierer,42.0695,-72.6148
Cedar Creek Mine Ride,Cedar Point,Sandusky,Ohio,Midwest,1969,1:Older,42,55,Thrill,Steel,Sit Down,48,2540,162,No,0,Arrow Dynamics,41.3991,-82.7244
Centi-SPEED,Alabama Adventure & Splash Adventure,Bessemer,Alabama,South,2014,3:Newest,NA,24,Family,Steel,Sit Down,NA,NA,48,No,0,Fajume,33.4024,-86.9518
Cheetah,Wild Adventures,Valdosta,Georgia,South,2001,3:Newest,52,92,Extreme,Wood,Sit Down,90,2680,126,No,0,"Custom Coasters International, Inc.",30.7539,-83.3321
Cheetah Hunt,Busch Gardens Tampa,Tampa,Florida,South,2011,3:Newest,60,102,Extreme,Steel,Sit Down,130,4429,117,Yes,1,Intamin Amusement Rides,27.9961,-82.582
Circus Coaster,Luna Park,Brooklyn,New York,Northeast,2010,3:Newest,18.6,29.5,Family,Steel,Sit Down,NA,574.2,118,No,0,Zamperla,40.6312,-73.9415
Classic Coaster,Washington State Fair,Puyallup,Washington,West,1935,1:Older,50,55,Thrill,Wood,Sit Down,52,2650,105,No,0,NA,47.2128,-122.3171
Cliffhanger,Glenwood Caverns Adventure Park,Glenwood Springs,Colorado,West,2012,3:Newest,25,59,Thrill,Steel,Sit Down,30,1430,94,No,0,S&MC,39.6014,-107.3043
Coast Rider,Knott's Berry Farm,Buena Park,California,West,2013,3:Newest,35,52,Thrill,Steel,Sit Down,50,1339,98,No,0,Mack Rides GmbH & Co KG,33.8463,-118.01220000000001
